,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Fiber, total dietary","Sugars, total","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,
,kcal,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,
Beer,43,0.46,0,3.55,0,0,4,0.02,6,14,27,4,0.01,0,0.005,0.025,0.513,0.046,Alcohol
Apple babyfood,50,0.19,0.36,11.56,1.9,10.48,4,0.08,4,8,86,2,0.02,64.5,0.04,0.017,0.087,0.041,Baby food
Bananas babyfood,56,0.4,0.1,15.3,1.6,0.38,5,0.2,10,7,88,0,0.06,16.7,0.012,0.031,0.183,0.115,Baby food
Infant formula,71,1.64,4.1,6.93,0,8.1,61,1.41,6,34,84,21,0.78,9.4,0.062,0.109,0.78,0.047,Baby food
Butter,717,0.85,81.11,0.06,0,0.06,24,0.02,2,24,24,643,0.09,0,0.005,0.034,0.042,0.003,Dairy
Cheddar Cheese,404,22.87,33.31,3.09,0,0.48,710,0.14,27,455,76,653,3.64,0,0.029,0.428,0.059,0.066,Dairy
Gouda Cheese,356,24.94,27.44,2.22,0,2.22,700,0.24,29,546,121,819,3.9,0,0.03,0.334,0.063,0.08,Dairy
Mozzarella Cheese,300,22.17,22.35,2.19,0,1.03,505,0.44,20,354,76,627,2.92,0,0.03,0.283,0.104,0.037,Dairy
Muenster Cheese,368,23.41,30.04,1.12,0,1.12,717,0.41,27,468,134,628,2.81,0,0.013,0.32,0.103,0.056,Dairy
Parmesan Cheese,392,35.75,25.83,3.22,0,0.8,1184,0.82,44,694,92,1376,2.75,0,0.039,0.332,0.271,0.091,Dairy
American Cheese,366,18.13,30.71,4.78,0,2.26,1045,0.63,26,641,132,1671,2.49,0,0.015,0.234,0.076,0.054,Dairy
Swiss Cheese,393,26.96,30.99,1.44,0,0,890,0.13,33,574,72,187,4.37,0,0.011,0.302,0.064,0.071,Dairy
Eggnog,88,4.55,4.19,8.05,0,8.05,130,0.2,19,109,165,54,0.46,1.5,0.034,0.19,0.105,0.05,Dairy
1% Milk,42,3.37,0.97,4.99,0,5.2,125,0.03,11,95,150,44,0.42,0,0.02,0.185,0.093,0.037,Dairy
Vanilla yogurt,85,4.93,1.25,13.8,0,13.8,171,0.07,16,135,219,66,0.83,0.8,0.042,0.201,0.107,0.045,Dairy
Egg,143,12.56,9.51,0.72,0,0.37,56,1.75,12,198,138,142,1.29,0,0.04,0.457,0.075,0.17,Dairy
Chobani vanilla Greek yogurt,71,9.07,0.22,8.09,0.3,7.61,106,0.05,11,126,130,36,0.49,0,0.028,0.233,0.217,0.053,Dairy
Thousand island salad dressing,379,1.09,35.06,14.64,0.8,15.18,17,1.18,8,27,107,962,0.26,0,1.445,0.058,0.418,0,Dressing
Italian dressing,102,0.39,6.68,9.99,0,9.16,15,0.25,4,12,90,891,0.06,0,0.012,0.008,0.094,0.055,Dressing
Mayo,680,0.96,74.85,0.57,0,0.57,8,0.21,1,21,20,635,0.15,0,0.01,0.019,0,0.008,Dressing
Olive oil,884,0,100,0,0,0,1,0.56,0,0,1,2,0,0,0,0,0,0,Dressing
Gravy,16,1.2,0.2,2.5,0,0,4,0.6,2,30,81,478,1,1,0.02,0.06,0.9,0.01,Dressing
Pesto sauce,418,9.83,37.6,10.09,1.8,6.33,306,0.57,47,273,560,603,1.33,0,0.17,0.717,0.523,0.133,Dressing
Worcestershire sauce,77,0,0,19.17,0,10.03,107,5.3,13,60,800,1300,0.19,13,0.07,0.13,0.7,0,Dressing
Bass fish,97,17.73,2.33,0,0,0,15,0.84,40,198,256,69,0.4,0,0.1,0.03,2.1,0.3,Fish
Carp fish,127,17.83,5.6,0,0,0,41,1.24,29,415,333,49,1.48,1.6,0.115,0.055,1.64,0.19,Fish
Cod,82,17.81,0.67,0,0,0,16,0.38,32,203,413,54,0.45,1,0.076,0.065,2.063,0.245,Fish
Salmon,117,18.28,4.32,0,0,0,11,0.85,18,164,175,672,0.31,0,0.023,0.101,4.72,0.278,Fish
Apples,52,0.26,0.17,13.81,2.4,10.39,6,0.12,5,11,107,1,0.04,4.6,0.017,0.026,0.091,0.041,Fruit
Apricots,48,1.4,0.39,11.12,2,9.24,13,0.39,10,23,259,1,0.2,10,0.03,0.04,0.6,0.054,Fruit
Bananas,89,1.09,0.33,22.84,2.6,12.23,5,0.26,27,22,358,1,0.15,8.7,0.031,0.073,0.665,0.367,Fruit
Blackberries,43,1.39,0.49,9.61,5.3,4.88,29,0.62,20,22,162,1,0.53,21,0.02,0.026,0.646,0.03,Fruit
Avocadoes,167,1.96,15.41,8.64,6.8,0.3,13,0.61,29,54,507,8,0.68,8.8,0.075,0.143,1.912,0.287,Fruit
Blueberries,57,0.74,0.33,14.49,2.4,9.96,6,0.28,6,12,77,1,0.16,9.7,0.037,0.041,0.418,0.052,Fruit
Cherries,50,1,0.3,12.18,1.6,8.49,16,0.32,9,15,173,3,0.1,10,0.03,0.04,0.4,0.044,Fruit
Cranberries,46,0.46,0.13,11.97,3.6,4.27,8,0.23,6,11,80,2,0.09,14,0.012,0.02,0.101,0.057,Fruit
Grapes,57,0.81,0.47,13.93,3.9,0,37,0.26,14,24,203,1,0.11,6.5,1.5,3,67,0,Fruit
Kiwi,61,1.14,0.52,14.66,3,8.99,34,0.31,17,34,312,3,0.14,92.7,0.027,0.025,0.341,0.063,Fruit
Florida oranges,46,0.7,0.21,11.54,2.4,9.14,43,0.09,10,12,169,0,0.08,45,0.1,0.04,0.4,0.051,Fruit
Papayas,43,0.47,0.26,10.82,1.7,7.82,20,0.25,21,10,182,8,0.08,60.9,0.023,0.027,0.357,0.038,Fruit
Pears,57,0.36,0.14,15.23,3.1,9.75,9,0.18,7,12,116,1,0.1,4.3,0.012,0.026,0.161,0.029,Fruit
Plums,46,0.7,0.28,11.42,1.4,9.92,6,0.17,7,16,157,0,0.1,9.5,0.028,0.026,0.417,0.029,Fruit
Raisins,301,3.28,0.2,80.02,3.3,65.7,64,0.98,35,101,746,24,0.37,3.2,0.008,0.191,1.142,0.323,Fruit
Raspberries,52,1.2,0.65,11.94,6.5,4.42,25,0.69,22,29,151,1,0.42,26.2,0.032,0.038,0.598,0.055,Fruit
Strawberries,32,0.67,0.3,7.68,2,4.89,16,0.41,13,24,153,1,0.14,58.8,0.024,0.022,0.386,0.047,Fruit
Watermelon,30,0.61,0.15,7.55,0.4,6.2,7,0.24,10,11,112,1,0.1,8.1,0.033,0.021,0.178,0.045,Fruit
Pineapples,45,0.55,0.13,11.82,0,8.29,13,0.25,12,9,125,1,0.08,16.9,0.078,0.029,0.47,0.106,Fruit
Cheerios,372,12.4,6.6,73.2,10.1,4.5,357,28.9,114,357,633,497,13.4,21.4,1.3,0.1,17.9,1.79,Grain
Fruit and cream oatmeal,379,8.3,6.37,75.42,6,31.27,307,11.3,84,300,280,499,1.85,0.3,0.943,1.068,12.568,1.257,Grain
Dinosaur eggs oatmeal,384,8.69,7.59,73.68,6.4,28.91,220,7.91,89,302,250,500,2.01,0,0.66,0.75,8.79,0.88,Grain
Egg bagels,278,10.6,2.1,53,2.3,0,13,3.98,25,84,68,505,0.77,0.6,0.536,0.235,3.443,0.087,Grain
Brown bread,195,5.2,1.5,43.3,4.7,2.42,70,2.1,63,112,318,631,0.5,0,0.014,0.115,1.12,0.082,Grain
Banana bread,29.2,326,4.3,10.5,54.6,1.1,21,1.4,14,58,134,302,0.35,1.7,0.172,0.2,1.446,0.15,Grain
Cheese crackers,489,10.93,22.74,59.42,2.3,4.53,136,4.88,25,200,156,973,1.19,0,0.562,0.338,6.113,0.17,Grain
White rice,365,7.13,0.66,79.95,1.3,0.12,28,4.31,25,115,115,5,1.09,0,0.576,0.049,4.192,0.164,Grain
Whole grain wheat flour,340,13.21,2.5,71.97,10.7,0.41,34,3.6,137,357,363,2,2.6,0,0.502,0.165,4.957,0.407,Grain
Egg noodles,384,14.16,4.44,71.27,3.3,1.88,35,4.01,58,241,244,21,1.92,0,1.133,0.426,8.387,0.216,Grain
Plain pasta,288,11.31,2.3,54.73,0,0,15,3.35,46,163,179,26,1.22,0,0.705,0.439,3.35,0.093,Grain
Chicken,215,18.6,15.06,0,0,0,11,0.9,20,147,189,70,1.31,1.6,0.06,0.12,6.801,0.35,Meat
Duck,404,11.49,39.34,0,0,0,11,2.4,15,139,209,63,1.36,2.8,0.197,0.21,3.934,0.19,Meat
Turkey,144,21.64,5.64,0.14,0,0.07,11,0.86,25,183,224,112,1.78,0,0.048,0.185,7.631,0.599,Meat
Sandwich ham,239,16.06,18.83,0.26,0,0,7,0.95,13,139,284,1280,1.83,2,0.535,0.165,3.2,0.32,Meat
Pastrami,139,16.3,6.21,3.34,0.1,3.34,11,4.2,14,200,345,1123,2.16,8.1,0.055,0.25,3.527,0.27,Meat
Sandwich salami,261,12.6,22.2,1.9,0,1.5,6,2.2,13,205,188,1140,1.77,0,0.103,0.189,3.238,0.18,Meat
Sandwich bologna,316,11.05,29.1,2.45,0,1.4,12,1.36,14,109,168,1179,2.03,0,0.05,0.11,2.42,0.17,Meat
Pork,585,10.06,60.42,0.32,0,0,36,0.82,12,160,214,125,1.13,0,0.246,0.139,3.93,0.234,Meat
Canadian bacon,110,20.31,2.62,1.34,0,0.9,6,0.44,20,240,683,751,1.23,0,0.511,0.141,7.227,0.241,Meat
Christmas ham,145,20.93,5.53,1.5,0,0,8,1.48,14,196,287,1203,2.88,0,0.754,0.202,4.023,0.4,Meat
Bacon,393,13.66,37.13,0,0,0.35,6,0.38,13,166,201,751,1.14,0,0.276,0.081,4.022,0.266,Meat
Beef steak,117,23.07,2.69,0,0,0,9,1.85,23,212,342,55,3.61,0,0.052,0.124,6.703,0.651,Meat
Beef sausage,312,14.11,26.91,2.42,0,0,7,1.76,13,105,176,1131,2.8,0,0.05,0.14,3.19,0.11,Meat
Hamburger,297,16.52,12.01,31.5,1.7,4.88,62,3.06,27,134,197,331,2.52,0,0.317,0.363,5.617,0.212,Meat
Almonds,579,21.15,49.93,21.55,12.5,4.35,269,3.71,270,481,733,1,3.12,0,0.205,1.138,3.618,0.137,Nut
Cashews,553,18.22,43.85,30.19,3.3,5.91,37,6.68,292,593,660,12,5.78,0.5,0.423,0.058,1.062,0.417,Nut
Macadamia nuts,718,7.91,75.77,13.82,8.6,4.57,85,3.69,130,188,368,5,1.3,1.2,1.195,0.162,2.473,0.275,Nut
Pecans,691,9.17,71.97,13.86,9.6,3.97,70,2.53,121,277,410,0,4.53,1.1,0.66,0.13,1.167,0.21,Nut
Pistachio nuts,560,20.16,45.32,27.17,10.6,7.66,105,3.92,121,490,1025,1,2.2,5.6,0.87,0.16,1.3,1.7,Nut
Walnuts,619,24.06,59.33,9.58,6.8,1.1,61,3.12,201,513,523,2,3.37,1.7,0.057,0.13,0.47,0.583,Nut
Ground beef,198,19.42,12.73,0,0,0,12,1.99,19,175,289,68,4.55,0,0.049,0.154,4.818,0.355,Nut
Peanut butter,598,22.21,51.36,22.31,5,10.49,49,1.74,168,335,558,17,2.51,0,0.15,0.192,13.112,0.441,Nut
Tomato bisque soup,96,1.76,1.95,18.47,0.8,0,31,0.64,7,47,325,698,0.46,4.6,0.051,0.055,0.894,0.07,Soup
Clam chowder,35,1.55,1.01,5.05,0.3,0.19,9,1.22,7,127,108,254,0.18,2,0.061,0.081,0.759,0.051,Soup
Chicken broth,31,4.42,1.04,0.75,0,0.35,6,0.41,2,60,170,621,0.2,0,0.006,0.046,2.23,0.02,Soup
